"STATION","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00440021","2000-01-01",,,,"0.00","0.0","0.0","57","29","39",,,,,,
"USC00440021","2000-01-02",,,,"0.00","0.0","0.0","65","34","37",,,,,,
"USC00440021","2000-01-03",,,,"0.00","0.0","0.0","69","35","46",,,,,,
"USC00440021","2000-01-04",,,,"0.02","0.0","0.0","72","47","63",,,,,,
"USC00440021","2000-01-05",,,,"0.14","0.0","0.0","64","27","27",,,,,,
"USC00440021","2000-01-06",,,,"0.00","0.0","0.0","36","22","23",,,,,,
"USC00440021","2000-01-07",,,,"0.00","0.0","0.0","49","20","21",,,,,,
"USC00440021","2000-01-08",,,,"0.00","0.0","0.0","49","19","21",,,,,,
"USC00440021","2000-01-09",,,,"0.00","0.0","0.0","47","26","37",,,,,,
"USC00440021","2000-01-10",,,,"1.21","0.0","0.0","48","40","47",,,,,,
"USC00440021","2000-01-11",,,,"0.00","0.0","0.0","55","29","47",,,,,,
"USC00440021","2000-01-12",,,,"0.00","0.0","0.0","55","24","26",,,,,,
"USC00440021","2000-01-13",,,,"0.26","0.0","0.0","63","24","51",,,,,,
"USC00440021","2000-01-14",,,,"0.00","0.0","0.0","56","20","20",,,,,,
"USC00440021","2000-01-15",,,,"0.00","0.0","0.0","56","17","19",,,,,,
"USC00440021","2000-01-16",,,,"0.00","0.0","0.0","44","19","42",,,,,,
"USC00440021","2000-01-17",,,,"0.00","0.0","0.0","44","19","24",,,,,,
"USC00440021","2000-01-18",,,,"0.48","6.0","6.0","40","24","30",,,,,,
"USC00440021","2000-01-19",,,,"0.00","0.0","3.0","64","24","26",,,,,,
"USC00440021","2000-01-20",,,,"0.37","2.0","5.0","39","26","33",,,,,,
"USC00440021","2000-01-21",,,,"0.06","2.0","3.0","33","11","11",,,,,,
"USC00440021","2000-01-22",,,,"0.00","0.0","2.0","23","8","12",,,,,,
"USC00440021","2000-01-23",,,,"0.25","4.0","5.0","27","12","26",,,,,,
"USC00440021","2000-01-24",,,,"0.00","0.0","5.0","37","26","33",,,,,,
"USC00440021","2000-01-25",,,,"0.00","0.0","2.0","35","12","12",,,,,,
"USC00440021","2000-01-26",,,,"0.04","1.0","3.0","26","12","17",,,,,,
"USC00440021","2000-01-27",,,,"0.00","0.0","3.0","24","4","10",,,,,,
"USC00440021","2000-01-28",,,,"0.00","0.0","3.0","25","1","17",,,,,,
"USC00440021","2000-01-29",,,,"0.00","0.0","3.0","40","18","33",,,"    1",,,
"USC00440021","2000-01-30",,,,"0.70","1.0","5.0","40","28","30",,,,,,
"USC00440021","2000-01-31",,,,"0.12","0.5","5.0","35","21","22",,,,,,
"USC00440021","2000-02-01",,,,"0.00","0.0","5.0","28","23","24",,,,,,
"USC00440021","2000-02-02",,,,"0.00","0.0","4.0","31","22","23",,,,,,
"USC00440021","2000-02-03",,,,"0.00","0.0","3.0","37","15","27",,,,,,
"USC00440021","2000-02-04",,,,"0.00","0.0","3.0","44","28","34",,,,,,
"USC00440021","2000-02-05",,,,"0.03","1.0","4.0","35","25","26",,,,,,
"USC00440021","2000-02-06",,,,"0.00","0.0","3.0","36","14","15",,,,,,
"USC00440021","2000-02-07",,,,"0.00","0.0","0.0","50","17","20",,,,,,
"USC00440021","2000-02-08",,,,"0.00","0.0","1.0","49","19","24",,,,,,
"USC00440021","2000-02-09",,,,"0.00","0.0","0.0","51","24","26",,,,,,
"USC00440021","2000-02-10",,,,"0.00","0.0","0.0","54","25","29",,,,,,
"USC00440021","2000-02-11",,,,"0.00","0.0","0.0","63","29","50",,,,,,
"USC00440021","2000-02-12",,,,"0.20","0.0","0.0","59","29","39",,,,,,
